name,state,url,contact,lat,long,address
Youth Transformation Center,Colorado,https://youthtransformationcenter.org/about,"youthtransformationcenter@gmail.com, (719) 440 1983",38.81186728,-104.7359588,"5014 Dovetail Ln, Colorado Springs, CO 80916"
Hartford Community Restorative Justice Center,Connecticut,https://hartfordjusticecenter.org,"Madelin Walker, RJ Program Coordinator, mmclafferty@hartfordjusticecenter.org, (802) 291-7173",43.64895217,-72.31987708,"58 N. Main St., Suite 102, WRJ, VT 05001"
Tow Youth Justice Institute,Connecticut,https://towyouth.newhaven.edu/rjpp/,"towyouth@newhaven.edu, (203) 932-7361",41.28834631,-72.9589056,"1076 Campbell Avenue, West Haven, CT, United States, Connecticut"
Victim's Voices Heard,Delaware,https://www.victimsvoicesheard.org/,"Kim Book, Founder and Executive Director, kim@victimsvoicesheard.org, (302) 943-3642",38.77432968,-75.13986999,"P.O. Box 671, Lewes, DE 19958"
Delaware Center for Justice,Delaware,https://www.dcjustice.org/,"Barbie Fischer, center@dcjustice.org, 302-658-7174",39.7458513,-75.54875959,"100 W. 10th St., Suite 905, Wilmington, DE 19801"
University of Dalaware Institute of Public Administration Conflict Resolution Program,Delaware,https://www.bidenschool.udel.edu/ipa/serving-delaware/crp/restorative-justice,"Kathleen Murphy, Associate Director, kmmurphy@udel.edu, 302-831-2927 ",39.6812465,-75.74899378,"180 Graham Hall, University of Delaware, Newark, DE 19716"
9th Circuit: Neighborhood Restorative Justice,Florida,https://www.ninthcircuit.org/about/programs/neighborhood-restorative-justice,"event@ocnjcc.org, (407) 836-9553",28.51285763,-81.35455492,"2000 East Michigan Street, Orlando, Florida 32806"
Florida Restorative Justice Association,Florida,https://www.floridarestorativejustice.com/,"Dan Kahn, Executive Director, operations@floridarestorativejustice.org, (352) 870-4054",30.42327728,-84.277157,"1916 South Meridian Street, Tallahassee, FL 32301"
Restorative Justice Project Georgia,Georgia,https://gjp.org/restorativejustice/,"Rami El Gharib, Restorative Justice Program Manager, rami@gjp.org, (404) 827-0027",33.75470216,-84.37334644,"438 Edgewood Avenue SE, Atlanta, Georgia 30312"
Georgia Conflict Center,Georgia,https://www.gaconflict.org/,"Mariah Foote, Restorative Practices Programs Manager, mfoote@gaconflict.org, (706) 206-7472",33.96535574,-83.40269053,"1498 Prince Avenue, Athens, GA 30606"
Hawaii Friends of Restorative Justice,Hawaii,https://hawaiifriends.org/,"Lorenn Walker, Director, lorenn@hawaii.edu, (808) 218-3712",21.31083897,-157.86,"PO Box 3654, Honolulu, HI 96811"
Hope Services Hawaii,Hawaii,https://hopeserviceshawaii.org/,"(808) 935-3050, info@hopeserviceshawaii.org",19.72392127,-155.0911582,"357 Waianuenue Avenue, Hilo, HI 96720"
Mediation Services of Eastern Iowa,Iowa,https://mediateiowa.org/restorative-justice-program/,"Annie Tucker, Director, admin@mediateiowa.org, 319-541-9434",41.6489242,-91.54795821,"91 Prairie Hill Ln, Iowa City, IA 52246"
Office of Victim & Restorative Justice Programs,Iowa,https://doc.iowa.gov/victim-services/victim-offender-intervention-services-vois,"Mary Roche, Director of Victim & Restorative Justice Programs, mary.roche@iowa.gov, 319-292-0940",42.49381287,-92.32345755,"1515 Lafayette Street, Waterloo, IA 50703"
Restorative Justice Center of the Polk County Attorney's Office,Iowa,https://www.polkcountyiowa.gov/county-attorney/programs-and-resources/,"ctyatty@polkcountyiowa.gov, (515) 286-3737",41.5857695,-93.62357398,"222 Fifth Avenue, Des Moines, IA 50309"
Valley County: Juvenile Diversion Program,Idaho,https://www.co.valley.id.us/departments/courts/court-services-judicial/diversion-program/,"Dianna Phillips, Juvenile Probation, courtsrvs@co.valley.id.us, (208) 382 4424",44.8974872,-116.0895408,"550 Deinhard Ln, McCall, ID 83638"
Circuit Court of Cook County,Illinois,https://www.cookcountycourt.org/ABOUT-THE-COURT/Restorative-Justice-Community-Courts,(312) 603-6000,41.88423329,-87.63011271,"50 West Washington Street, Chicago, IL 60602"
Center for Community Justice,Indiana, https://www.centerforcommunityjustice.org/,"info@centerforcommunityjustice.org, (574) 295-6149",41.68574867,-85.97640294,"121 South Third Street, Elkhart, IN 46516"
Reach for Youth,Indiana, https://www.reachforyouth.org,"rfy@reachforyouth.org, (317) 920-5900",39.81953963,-86.15148975,"3505 N. Washington Blvd., Indianapolis, IN 46205"
Community Justice and Mediation Center,Indiana,https://cjamcenter.org/restorative-justice/,"admin@cjamcenter.org, (812) 336-8677",39.16608909,-86.53340448,"205 S. Walnut Street, Suite 16, Bloomington, Indiana 47404"
Winter Center for Restorative Justice,Kansas,https://www.wintercenter.org/,"trish@winterc4rj.org, 785-845-8877",38.94393994,-95.28198086,"3514 Clinton Parkway, Suite A373, Lawrence, KS 66047"
Offender Victim Ministries,Kansas,https://offendervictimministries.org/,"info@ovmks.org, (316) 283-2038",38.04121477,-97.34160299,"209 S Pine St, Newton, KS 67114"
Kansas Institute for Peace and Conflict Resolution,Kansas,https://www.kipcor.org/,"Eva Lapp, Director of Education & Training, emlapp@bethelks.edu, (316) 284-5217",38.07250381,-97.34294246,"2515 College Avenue, North Newton, KS 67117"
Kentucy Center for Restorative Justice,Kentucky,https://www.kcrj.us/,"Diana Queen, diana.queen@kcrj.org, (859) 797-6568",38.09381865,-84.43062954,"3051 Paris Pike, Lexington, KY 40511"
Volunteers of America Restorative Justice,Kentucky,https://www.voamid.org/welcome-rj-to-the-voa-family,(502) 636-0771,38.24932975,-85.75796874,"570 South Fourth Street, Suite 100, Louisville, KY 40202"
Caddo: Restorative Justice Diversion Programs,Louisiana,http://www.caddo.org/338/Restorative-Justice-Diversion-Program,"Laurie McGehee, Probation Manager, lmcgehee@caddo.org, (318) 226-6500 ext. 6004",32.51328997,-93.75081014,"505 Travis Street, Suite 800, Shreveport, LA 71101"
The Center for Restorative Approaches,Louisiana,https://www.thecra.net,"Kai Werder, Deputy Director, kwerder@thecra.net, (504) 249-5274",29.94893508,-90.1026084,"3900 General Taylor, Second Floor, Suite 202 New Orleans, LA 70125"
Trinity Espicopal Church Center for Restorative Approaches,Louisiana,https://trinitynola.com/restorative-justice/,"Merry Toups, Trinity Restorative Justice Committee Member, merryparis@yahoo.com, (504) 522-0276",29.93202222,-90.0783095,"1329 Jackson Avenue, New Orleans, LA 70130"
Northwestern District Attorney Restorative Justice Board,Massachusetts,https://www.northwesternda.org/prosecution/pages/restorative-justice,"Laurie Loisel, Director of Communication and Outreach, (413) 586-9225",42.31843896,-72.62744638,"1 Gleason Plaza, Northampton, MA 01060"
Communities for Restorative Justice,Massachusetts,https://www.c4rj.com/,"info@c4rj.org, (617) 294-6677",42.35712014,-71.05763313,"50 Milk Street 10th Floor, Boston, MA 02108"
Institute for Restorative Initiative,Massachusetts,https://www.instituteforrestorativeinitiatives.org/,"dept_crj@sufffolk.edu, (617) 305-1991",42.35682863,-71.06143287,"120 Tremont Street, RM 1024, Boston, MA 02108"
Restorative Justice Project,Massachusetts,https://www.umb.edu/cpdd/key_areas/law_justice_reform/restorative_justice_project,"Daria Lyman, Director, daria.lyman@gmail.com, 617-875-0266 ",42.31479424,-71.04033197,"100 Morrissey Blvd., Boston, MA 02125 USA"
Center for Restorative Justice,Massachusetts,https://www.suffolk.edu/cas/centers-institutes/center-for-restorative-justice,"crj@suffolk.edu, (617) 305-1991",42.35684449,-71.06143287,"120 Tremont St, Boston, MA 02108"
Conflict Resolution Center of Baltimore County,Maryland,https://crcbaltimorecounty.org/about/,"conferencing@crcbaltimorecounty.org, (443) 297-7897",39.42350954,-76.51905854,"9700 Old Harford Rd, Bldg #22, Parkville, MD 21234"
Mediation and Conflict Resolution Center of Howard County,Maryland,https://mcrchoward.org/,"info@mcrchoward.org, (443) 518-7693",39.17760865,-76.85230113,"9770 Patuxent Woods Drive, Suite 306, Columbia, MD 21046"
Restorative Response Baltimore,Maryland,https://www.restorativeresponse.org/,"info@restorativeresponse.org, (410) 889-7400",39.33244673,-76.64083291,"1500 Union Ave Suite 2700, Baltimore, MD 21211"
Restorative Justice Institute of Maine,Maine,https://www.rjimaine.org/,"info@rjimaine.org, (207) 504-5134",43.65424441,-70.2636989,"142 High St. Suite 320, Portland, Maine 04101"
Restorative Justice Project Maine,Maine,https://www.rjpmidcoast.org/,"info@rjpmidcoast.org, (207) 338-2742",44.42595873,-69.00580961,"122 High Street, Belfast, ME, United States, Maine"
Cumberland County District Attorney Office,Maine,https://www.cumberlandcounty.org/726/Restorative-Justice,"webmaster@cumberlandcounty.org, (207) 871-8384",43.65945349,-70.25389084,"142 Federal Street, Portland, ME 04101"
The Dispute Resolution Center,Michigan,https://thedisputeresolutioncenter.org/,"info@thedrcmi.org, 734-794-2125",42.25411489,-83.67847034,"4133 Washtenaw Ave, Suite B125, Ann Arbor, MI 48107"
Resolution Services Center,Michigan,https://www.rsccm.org,"mediate@rsccm.org, (517) 485-2274",42.72855851,-84.64287918,"516 S. Creyts Rd. Suite A Lansing, MI 48917"
The Resolution Center,Michigan,http://www.theresolutioncenter.com/services/,(586) 469-4714,42.59148322,-82.88133619,"176 S. Main St., Suite 2, Mount Clemens, MI 48043"
Michigan Catholic Conference,Michigan,https://www.micatholic.org/advocacy/advocacy-issues/restorative-justice/,"info@micatholic.org, 800-395-5565",42.72845798,-84.55435757,"510 S. Capitol Ave.Lansing, MI 48933"
Metro Detroit Restorative Justice Network,Michigan,https://metrodetroitrj.org/contact-us,"info@detroitjustice.org, 313-736-5957",42.33418239,-83.0504099,"1420 Washington Blvd., Suite 301, Detroit, MI 48226"
Restorative Justice Group (St. Peter's Episcopal Church),Michigan,https://stpetersdetroit.wordpress.com/ministries/restorative-justice-group/,"saintpetersdetroit@gmail.com, 313-757-2985",42.33124463,-83.06628784,"1950 Trumbull Ave., Detroit, MI 48216"
University of Michigan Office of Student Conflict Resolution,Michigan,https://oscr.umich.edu/article/restorative-justice-circles,"oscr@umich.edu, (734) 936-6308",42.27686842,-83.74262484,"515 East Jefferson, Ann Arbor, MI 48109-1316"
Michigan State University Restorative Justice,Michigan,https://ossa.msu.edu/cr-trainings-services/restorative-conferencing,"ossa@msu.edu, (517) 884-0789",42.73220916,-84.47621494,"556 E. Circle Drive, East Lansing, MI 48824"
Lansing School District Restorative Justice Program,Michigan,https://www.lansingschools.net/departments/office-of-school-culture/student-services/,(517) 755-2800,42.69054846,-84.5940187,"4200 Wainwright Ave, Lansing, MI 48911"
Minnesota Department of Corrections,Minnesota,https://mn.gov/doc/victims/restorative-justice/,651-361-7200,44.9712032,-93.16216397,"1450 Energy Park Drive, St. Paul, Minnesota 55108"
Clay County Restorative Justice Program,Minnesota,https://claycountymn.gov/184/Restorative-Justice,218-299-5035,46.8843447,-96.76376267,"807 11th St. N., Moorhead, MN 56560"
Oakdale Restorative Justice Program,Minnesota,https://www.oakdalemn.gov/279/Diversion---Restorative-Justice-Program,651-739-5086,44.97132306,-92.96547584,"1584 Hadley Avenue N, Oakdale, MN 55128"
Winona County Restorative Justice,Minnesota,https://www.co.winona.mn.us/189/Restorative-Justice,507-457-6534,44.05302751,-91.6404768,"171 W Third Street, Winona, MN 55987"
Conflict Resolution Center,Minnesota,https://www.crcminnesota.org/,"mediation@crcminnesota.org, (612) 822-9883",44.9620488,-93.29166887,"2101 Hennepin Ave. Suite 100, Minneapolis, MN 55405"
Restorative Justice Community Action,Minnesota,https://www.rjca-inc.org/,(612) 746-0780,44.96587021,-93.28584932,"401 Groveland Ave, Suite 50,Minneapolis, MN 55403"
Central Minnesota Re-Entry Project,Minnesota,https://cmnrp.org/,"Director, Joshua Debelsback, joshua@cmnrp.org, (320) 656-9004",45.62059942,-94.25004294,"PO Box 2391,St. Cloud, MN 56302"
Volunteers of America: Minnesota,Minnesota,https://www.voamnwi.org/,(952) 945-4000,44.86584847,-93.3534618,"7625 Metro Boulevard,Minneapolis, MN 55439"
FreedomWorks,Minnesota,https://myfreedomworks.com/,612.522.9007,45.01027307,-93.29522983,"2912 Fremont Ave. N, Minneapolis, MN 55411"
Minnesota Peacebuilding Leadership Institute,Minnesota,https://www.mnpeace.org/,"info@mnpeace.org, (612) 345-4310",44.90909414,-93.20652744,"5200 47th Avenue S., Ste. 101, Minneapolis, MN 55417"
Unity Church Restorative Justice Team,Minnesota,https://www.unityunitarian.org/racial-and-restorative-justice.html,"unity@unityunitarian.org, 651-228-1456",44.94276485,-93.130881,"733 Portland Avenue, Saint Paul, MN 55104"
Men As Peacemakers' Restorative Justice Program,Minnesota,https://www.menaspeacemakers.org/jrv/,"(218) 727-1939, info@menaspeacemakers.org",46.78569385,-92.1006557,"123 West Superior Street, Duluth, MN 55802"
Lakes Area Restorative Justice Project,Minnesota,https://www.larjp.org/,"(218) 454 - 4145, officecoordinator@larjp.org",46.33463133,-94.19994083,"2011 South 6th Street, Brainerd MN, 56401"
University of Minnesota Center for Restorative Justice and Peacemaking,Minnesota,https://rjp.umn.edu/,"rjp@d.umn.edu, (218) 726-7094",46.8182938,-92.0845639,"228 Cina Hall, 1123 University Drive, Duluth, MN 55812-3006"
Center for Conflict Resolution,Missouri,https://www.ccrkc.org/restorative-justice,"info@ccrkc.org, (816) 461-8255",39.01361451,-94.56966713,"6285 Paseo Blvd., Kansas City, MO 64110"
Missouri Department of Corrections Restorative Justice Program,Missouri,https://doc.mo.gov/programs/restorative-justice/restorative-justice-information,,38.59261171,-92.22421323,"2729 Plaza Drive, Jefferson City, MO 65102"
7th Judicial Circuit Court: Restorative Justice Programs,Missouri,https://www.circuit7.net/juvenile/restorative-justice,816-736-8400,39.24546934,-94.41748873,"Clay County Juvenile Office, 351 East Kansas Street, Liberty, Missouri 64068"
Center for Women in Transition,Missouri,https://www.cwitstl.org/,"keyway@keywaycenter.org, 314-771-5207",38.54634597,-90.25910643,"7716 S. Broadway, ​St. Louis, MO 63111"
Center for Conflict Resolution,Missouri,https://ccrkc.org/,"info@ccrkc.org, 816.461.8255",39.01368954,-94.56968859,"6285 Paseo Blvd., Kansas City, MO 64110"
STAR,Missouri,https://www.stlreentry.org/,info@stlarchs.org,38.63936328,-90.2317232,"539 North Grand Blvd., St. Louis, MO"
St. Louis Area Restorative Justice Collaboration,Missouri,https://www.stlarjc.org/,,38.64458898,-90.23603203,
Missouri State: Missouri Restorative Justice Coalition,Missouri,https://associations.missouristate.edu/morjc/,ErinWehrman@missouristate.edu,37.20055062,-93.28068368,"901 S National Ave, Springfield, MO 65897"
New Way Mississippi,Mississippi,https://newwayms.webs.com/,601-924-3807,32.34977804,-90.37463004,"1896 N. Frontage Rd., Clinton, MS., 39056"
Episcopal Church of Mississippi Prison and Justice Committee,Mississippi,https://www.dioms.org/Archives/prison.html,601-948-5954,32.30020866,-90.1824805,"118 N Congress St, Jackson, MS 39201"
University of Mississippi Office of Conflict Resolution and Student Conduct,Mississippi,https://conflictresolution.olemiss.edu/,"studentconduct@olemiss.edu, 662-915-1387",34.36713169,-89.53559196,"120 Cross Street, University, MS 38677"
Center for Restorative Youth Justice,Montana,https://restorativeyouthjustice.org/,406.257.7400,48.20232332,-114.3131623,"110 E Idaho St, Kalispell, MT 59901"
Montana Department of Corrections Victim Services,Montana,https://cor.mt.gov/Victims/restorative,"CORVictimLiaison@mt.gov, (888) 223-6332",46.58641405,-112.0394911,"5 S Last Chance Gulch St, Helena, MT 59620"
The Restorative Justice Clinic,North Carolina,https://law.campbell.edu/advocate/clinical-programs/the-restorative-justice-clinic/,"Jon Powell, Director, Restorative Justice Clinic, 919-865-4692, jonpowell@campbell.edu",35.78022594,-78.64286656,"225 Hillsborough St, Raleigh, NC 27603"
Piedmont Mediation Center,North Carolina,http://www.piedmontmediation.com/,"704-873-7624, piedmontmediation1@gmail.com",35.79716302,-80.86918237,"1316 Davie Ave, Statesville, NC 28677"
Dispute Settlement Center,North Carolina,https://www.disputesettlement.org/,"(919) 929-8800, fhenderson@disputesettlement.org",35.91162322,-79.07465576,"302 W Weaver St, Carrboro, NC 27510"
The Mediation & Restorative Justice Center,North Carolina,https://www.mrjc.us/,(828) 264-3040,36.22080789,-81.6859304,"133 N Water St, Boone, NC 28607"
The Capital Restorative Justice Project,North Carolina,https://capitalrestorativejustice.org/,capitalrestorativejustice@gmail.com,36.00915127,-78.91055537,"800 Watts St, Durham, NC 27701"
Restorative Justice Collaborative at UNCW,North Carolina,https://uncw.edu/engagement/rjc/index.html,"(910) 962-3000, restorativejustice@uncw.edu",34.22712364,-77.87678969,"4716 Alumni Dr, Wilmington, NC 28403"
Restorative Justice Durham,North Carolina,https://www.restorativejusticedurham.org/,"RJ Coordinator, Leah Wilson-Hartgrove, restorativejusticedurham@gmail.com",36.00495729,-78.89122467,"1209 N Elizabeth St, Durham, NC 27701"
Restoring Youth Coalition of North Carolina,North Carolina,https://www.rjnc.us/,"704-775-3169, restoringyouthcnc@gmail.com",35.79718822,-80.86920519,"1316 Davie Ave d, Statesville, NC 28677"
North Dakota Corrections and Rehabilitation Victim Services Program,North Dakota,https://www.docr.nd.gov/victim-services-program,"701-328-6183, victimservices@nd.gov",46.8054458,-100.7522595,"3100 Railroad Ave, Bismarck, ND 58501"
North Dakota State University Restorative Practices Network,North Dakota,https://www.ndsu.edu/restorativepracticesnetwork/,"Emily Frazier, Dean of Students, (701) 231-8406, emily.frazier@ndsu.edu ",46.89165446,-96.80007944,"1340 Administration Ave, Fargo, ND 58102"
RestorativeND,North Dakota,https://www.restorativend.com/,"(701) 799-0387, joelfriesz@outlook.com",46.87664701,-96.83195427,
Consensus Council,North Dakota,https://agree.org/restorative-justice/,"701.799.3795, rj@agree.org",46.79628247,-96.8045984,"6046 14th St S, Fargo, ND 58104"
Community Justice Center,Nebraska, https://communityjusticecenter.org/,"(402) 277-8111, jim.jones@communityjusticecenter.org",40.8152561,-96.70141617,"211 N 14th Street, #314, Lincoln, NE 68508"
Nebraska Office of Dispute Resolution,Nebraska,https://supremecourt.nebraska.gov/programs-services/odr,"Nicole Britten, Program Specialist, 402.416.0670, nicole.britten@nebraska.gov",40.80865642,-96.7015564,"521 S 14th St #102, Lincoln, NE 68508"
Nebraska Mediation Center,Nebraska,https://nebraskamediationcenter.com/services/restorative-justice/restorative-justice-overview.html,"402.753.9415, nmc@nebraskamediationcenter.com",41.43350372,-96.49783124,"435 N Park Ave 4th Floor, Fremont, NE 68025"
Heartland Family Service,Nebraska,https://www.heartlandfamilyservice.org/child-and-family/restorative-justice/,"(402) 553-3000, info@HeartlandFamilyService.org",41.23968968,-95.97546178,"2101 S 42nd St, Omaha, NE 68105"
Merrimack County Juvenile Services Restorative Community Board,New Hampshire,https://www.merrimackcounty.net/departments/juvenile-diversion,603-225-5445,43.21031285,-71.5382051,"163 North Main Street, Suite 102, Concord, NH 03301"
Crispin's House Coalition for Youth,New Hampshire,https://crispinshouse.org/juvenile-court-diversion/,(603) 497-3499,43.02054896,-71.60085637,"5 N Mast St, Goffstown, NH 03045"
City of Keene: Juvenile Diversion Program,New Hampshire,https://www.ci.keene.nh.us/departments/youth-services/juvenile-court-diversion,603-357-9811,42.93435619,-72.27787415,"3 Washington St, Keene, NH 03431"
Belknap County Restorative Justice,New Hampshire,https://www.belknapcounty.gov/restorative-justice-court-diversion,(603) 527-5493,43.5426644,-71.4846589,"34 County Dr, Laconia, NH 03246"
Grafton County Juvenile Restorative Justice Program,New Hampshire,https://www.co.grafton.nh.us/all-departments/alternative-sentencing/restorative-justice/,855-212-1234,44.11288616,-72.0421589,"3785 Dartmouth College Hwy, North Haverhill, NH 03774"
Communities for Alchohol and Drug-Free Youth Restorative Justice Program,New Hampshire,https://cadyinc.org/programs/restorative-justice-court-diversion/,"(603) 536-9793, info@cadyinc.org",43.75968201,-71.69909196,"94 Highland St, Plymouth, NH 03264"
"New Jersey Department of Corrections
Office of Victim Services: Focus on the Victim",New Jersey,https://www.state.nj.us/corrections/pages/victimServices.html,Victim.Services@doc.nj.gov,40.24409469,-74.79153918,"1300 Stuyvesant Ave, Trenton, NJ 08618"
Rutgers Student Affairs,New Jersey,https://nbtitleix.rutgers.edu/restorative-justice,848-932-8200,40.50411252,-74.45387863,"2 Richardson St, New Brunswick, NJ 08901"
Santa Fe County Teen Court,New Mexico,https://www.santafecountynm.gov/community-services/teen-court,(505) 986-6200,35.6909828,-105.940564,"100 Catron St, Santa Fe, NM 87501"
Santa Fe Public Schools Restorative Justice Program,New Mexico,https://www.sfps.info/page/restorative-justice,"Mary Louise Romero, Secondary Restorative Justice Coordinator, mlromero@sfps.k12.nm.us, 505.310.1789",35.66986787,-105.951905,"610 Alta Vista St, Santa Fe, NM 87505"
Valencia County Juvenile Justice Board Restorative Justice Program,New Mexico,https://www.co.valencia.nm.us/377/Restorative-Justice,505-866-2001,34.80235485,-106.7334982,"444 Luna Ave SE, Los Lunas, NM 87031"
Code Switch Restorative Justice for Girls of Color,Nevada,https://codeswitch.org/,codeswitchlv@gmail.com,36.03582972,-114.9752355,"P.O. Box 91233, Henderson, NV  89009"
The Restorative Center,New York,https://www.therestorativecenter.org/,917-310-1764,41.50105612,-74.01201061,"115 Broadway, Newburgh, NY 12550"
New York Peace Institute,New York,https://nypeace.org/,"212.577.1740, info@nypeace.org",40.70787041,-74.00553909,"111 John St #600, New York, NY 10038"
Restorative Justice Initiative,New York,https://www.restorativejustice.nyc/,"info@restorativejustice.nyc, (646) 360-0331",40.74794752,-73.94398844,"2 Ct Square W, Queens, NY 11101"
New York State Defenders Association Restorative Justice Program,New York,https://www.nysda.org/page/RestorativeJustice,"John Cutro, Restorative Practitioner, jcutro@nysda.org, 518-465-3524",42.6564643,-73.76311396,"194 Washington Ave, Albany, NY 12210"
