state,laws,bothSystems,juveOnly,adultOnly,preAdjudication,postAdjudication,voluntaryVictim,voluntaryOffender,mandatoryOffender,Appendix 2A: BOTH JUVENILE JUSTICE SYSTEM AND ADULT CRIMINAL JUSTICE SYSTEM,,,Appendix 2B: JUVENILE JUSTICE SYSTEM EXCLUSIVE LAWS,,,Appendix 2C: CRIMINAL JUSTICE SYSTEM EXCLUSIVE LAWS,,,Appendix 3A: PRE-ADJUDICATION,,,Appendix 3B: POST-ADJUDICATION,,,Appendix 6A: VOLUNTARY PARTICIPATION OF VICTIM,,,Appendix 6B: VOLUNTARY PARTICIPATION OF OFFENDER,,,Appendix 6C: MANDATORY PARTICIPATION OF OFFENDER,
California,CAL. MENDOCINO SUPER. Ct. R. 5.8(1)(o) (2020),,Juvenile System,,,,,,,Colorado,COLO. REV. STAT. ¤ 18-4-509(II) (2020),,Colorado,COLO. REV. STAT. ¤ 19-2-706(1)(a) (2020),,Colorado,COLO. REV. STAT. ¤ 24-33.5-510(3)(d) (2020),,Minnesota,MINN. STAT. ¤ 388.24 subd. 2(1) (2020),,Colorado,COLO. REV. STAT. ¤ 17-28-101 (2020),,Colorado,COLO. REV. STAT. ¤ 24-4.1-303(11)(g) (2020),,Colorado,COLO. REV. STAT. ¤ 18-1-901(3)(o.5) (2020),,Louisiana,"LA. ADMIN. CODE tit. 22, ¤ 337(H)(1) (2020)"
California,CAL. WELF. & INST CODE § 202(e) (West 2020),,Juvenile System,,,,Voluntary Participation of Victim,,Mandatory Participation of Offender,Colorado,COLO. REV. STAT. ¤ 24-4.1-302.5(1)(l.5) (2020),,Colorado,COLO. REV. STAT. ¤ 19-2-925(2)(a)(X) (2020),,Colorado,COLO. REV. STAT. ¤ 16-7-202(1) (2020),,Minnesota,MINN. STAT. ¤ 609.092 subd. 5Ð6 (2020),,Colorado,COLO. REV. STAT. ¤ 18-1.3-204(2)(a)(III.5) (2020),,Colorado,COLO. REV. STAT. ¤ 18-1-901(3)(o.5) (2020),,Colorado,COLO. REV. STAT. ¤ 18-1.3-501(1.5)(a) (2020),,Louisiana,LA. CODE CRIM. PROC. ANN. art. 895 (2020)
California,CAL. PENAL CODE § 8052(e)(6) (West 2020),,,Adult System,,,,,Mandatory Participation of Offender,Colorado,COLO. REV. STAT. ¤ 24-4.1-303(11)(g) (2020),,Colorado,COLO. REV. STAT. ¤ 19-2-311 (2020),,Colorado,COLO. REV. STAT. ¤ 18-9-121(3.5)(a)(II) (2020),,Nebraska,"NEB. REV. STAT. ¤ 43-2,108.03(2) (2019)",,Colorado,COLO. REV. STAT. ¤ 18-4-509(II) (2020),,Colorado,COLO. REV. STAT. ¤ 18-1.3-501(1.5)(a) (2020),,Colorado,COLO. REV. STAT. ¤ 42-4-1307(e)(12) (2020),,Minnesota,MINN. STAT. ¤ 609.125 subd. 1(6) (2020)
California,CAL. PENAL CODE § 17.5(a)(8)(E) (West 2020),Juvenile and Adult System,,,,,,,Mandatory Participation of Offender,Colorado,COLO. REV. STAT. ¤ 18-1-901(3)(o.5) (2020),,Colorado,COLO. REV. STAT. ¤ 19-2-905(4) (2020),,Colorado,COLO. REV. STAT. ¤ 18-1.3-101(9)(b) (2020),,Nebraska,NEB. REV. STAT. ¤ 43-275 (2019),,Colorado,COLO. REV. STAT. ¤ 16-7-202(1) (2020),,Colorado,COLO. REV. STAT. ¤18-25-101(3)(a)(b) (2020),,Colorado,COLO. REV. STAT. ¤ 19-2-925(2)(a)(X) (2020),,Minnesota,MINN. STAT. ¤ 609.135 subd. 1(b) (2020)
California,CAL. PENAL CODE § 3450(B)(8) (West 2020),,,Adult System,,,,,Mandatory Participation of Offender,Colorado,COLO. REV. STAT. ¤ 18-1.3-501(1.5)(a) (2020),,Colorado,COLO. REV. STAT. ¤ 19-2-211(1) (2020),,Colorado,COLO. REV. STAT. ¤ 18-1-102(e) (2020),,Nebraska,NEB. REV. STAT. ¤ 43-260.06(6) (2019),,Colorado,COLO. REV. STAT. ¤ 18-9-121(3.5)(a)(II) (2020),,District of Columbia,D.C. CODE ANN. ¤ 1-301.81(a)(3) (2020),,Colorado,COLO. REV. STAT. ¤ 18-1-102.5(1)(f) (2020),,Mississippi,MISS. CODE ANN. ¤ 9-5-87 (2020)
California,CAL. R. Ct. 4.427 (2020),Juvenile and Adult System,,,,Post-Adjudication,,,,Colorado,COLO. REV. STAT. ¤ 42-4-1307(e)(12) (2020),,Colorado,COLO. REV. STAT. ¤ 19-2-907(1)(l) (2020),,Colorado,COLO. REV. STAT. ¤ 18-1-102.5(1)(f) (2020),,Nebraska,NEB. REV. STAT. ¤ 43-276(1)(j) (2019),,Colorado,COLO. REV. STAT. ¤ 18-1.3-101(9)(b) (2020),,Florida,FLA. STAT. ¤ 985.155 (2020),,Delaware,"DEL. CODE ANN. tit. 11, ¤ 9504(b) (2019)",,Mississippi,MISS. CODE ANN. ¤ 9-1-17 (2020)
California,CAL. PENAL CODE § 422.86(a) (West 2020),Juvenile and Adult System,,,,,,,,Colorado,COLO. REV. STAT. ¤18-25-101(3)(a)(b) (2020),,Colorado,COLO. REV. STAT. ¤ 19-2-708(2) (2020),,Colorado,COLO. REV. STAT. ¤ 17-34-101(3) (2020),,Nebraska,NEB. REV. STAT. ¤ 43-274 (2019),,Colorado,COLO. REV. STAT. ¤ 19-2-925(2)(a)(X) (2020),,Hawaii,HAW. REV. STAT. ¤ 571-31.4(c)(11) (2019),,District of Columbia,D.C. CODE ANN. ¤ 1-301.81(a)(3) (2020),,Mississippi,MISS. CODE ANN. ¤ 93-5-23 (2020)
California,CAL. PENAL CODE § 5027(b) (West 2020),Juvenile and Adult System,,,,,,,,Colorado,COLO. REV. STAT. ¤ 25-20.5-801(7) (2020),,Colorado,COLO. REV. STAT. ¤ 19-2-309.5(4)(a)(II) (2020),,Delaware,"DEL. CODE ANN. tit. 11, ¤ 9503(e) (2019) )",,North Carolina,N.C. GEN. STAT. ANN. ¤ 7B-1706(a)(4) (2019),,Colorado,COLO. REV. STAT. ¤ 42-4-1307(e)(12) (2020),,Indiana,IND. CODE ¤ 35-40-6-5 (2020),,Florida,FLA. STAT. ¤ 985.155 (2020),,Missouri,MO. ANN. STAT. ¤ 558.019 (2020)
California,CAL. PENAL CODE § 6046.3(a)(1) (West 2020),Juvenile and Adult System,,,,,,,,Colorado,COLO. REV. STAT. ¤ 16-11-102(b.5) (2020),,Colorado,COLO. REV. STAT. ¤ 19-2-302.5(2)(e) (2020),,Hawaii,HAW. REV. STAT. ¤ 353H-31(C) (2019),,Oregon,OR. ADMIN. R. 166-150-0080(7) (2020),,Colorado,COLO. REV. STAT. ¤ 17-34-101(3) (2020),,Indiana,IND. CODE ¤ 35-40-6-4(9) (2020),,Indiana,IND. CODE ¤ 35-40-6-5 (2020),,Missouri,MO. ANN. STAT. ¤ 559.021(2) (2020)
California,CAL. PENAL CODE § 5007.3(a)(2)(B) (West 2020),Juvenile and Adult System,,,,,,,,Connecticut,CONN. GEN. STAT. ¤ 18-100h(a) (2020),,Colorado,COLO. REV. STAT. ¤ 18-7-109(5)(d) (2020),,Indiana,210 IND. ADMIN. CODE 1 (2020),,Utah,UTAH CODE ANN. ¤ 78A-6-602(8)(g) (West 2020),,Colorado,COLO. REV. STAT. ¤ 19-2-1002(9)(b)(I)(A)Ð(B) (2020),,Massachusetts,"MASS. GEN. LAWS ANN. ch. 276B, ¤ 1 (2020)",,Indiana,IND. CODE ¤ 35-40-6-4(9) (2020),,Montana,MONT. CODE ANN. ¤ 41-5-1304(k) (2019)
California,CAL. PENAL CODE § 1170(a)(2) (West 2020),,,Adult System,,,,Voluntary Participation of Offender,,Delaware,"DEL. CODE ANN. tit. 11, ¤ 9502 (2019)",,Colorado,COLO. REV. STAT. ¤ 26-6.8-103(1)(f)(2)(a)(III)(C) (2020),,Louisiana,"LA. ADMIN. CODE tit. 22, ¤ 337(H)(1) (2020)",,Vermont,"VT. STAT. ANN. tit. 33, ¤ 225(b)(2) (2020)",,Colorado,COLO. REV. STAT. ¤ 16-11-102(b.5) (2020),,Maine,"ME. STAT. tit. 34-A, ¤ 1214(3)(F) (2019)",,Massachusetts,"MASS. GEN. LAWS ANN. ch. 276B, ¤ 2 (2020)",,North Carolina,N.C. GEN. STAT. ANN. ¤ 7B-2506(7) (2019)
California,CAL. PENAL CODE § 1230(B) (West 2020),,,Adult System,,,,,,Delaware,"DEL. CODE ANN. tit. 11, ¤ 9504(b) (2019)",,Colorado,COLO. REV. STAT. ¤ 19-1-103(44)(b) (2020),,Louisiana,LA. STAT. ANN. ¤ 46:1846 (2020),,Washington,WASH. REV. CODE ¤ 46.61.5152 (2020),,Colorado,COLO. REV. STAT. ¤ 18-1.3-104(1)(b.5)(I) (2020),,Michigan,MICH. COMP. LAWS ANN. ¤ 798.33(e) (2020),,Massachusetts,"MASS. GEN. LAWS ANN. ch. 276B, ¤ 1 (2020)",,North Carolina,N.C. GEN. STAT. ANN. ¤ 7B-1706(a)(4) (2019)
California,CAL. CODE REGS. tit. 15 § 1371 (2020),,Juvenile System,,,Post-Adjudication,,Voluntary Participation of Offender,,Delaware,"DEL. CODE ANN. tit. 11, ¤ 9505 (2019)",,Colorado,COLO. REV. STAT. ¤ 19-2-303 (2020),,Louisiana,LA. CODE CRIM. PROC. ANN. art. 895 (2020),,Washington,WASH. SEDRO WOOLLEY MUN. CT. R. SWMCRRLJ 7.2(g) (2020),,Connecticut,CONN. GEN. STAT. ¤ 18-100h(a) (2020),,Minnesota,MINN. STAT. ¤ 609.092 subd. 5Ð6 (2020),,Minnesota,MINN. STAT. ¤ 609.092 subd. 5Ð6 (2020),,Ohio,OHIO REV. CODE ANN. ¤ 2152.19(C) (West 2019Ð20)
California,CAL. PENAL CODE § 5006(a)(1)(D) (West 2020),,,Adult System,,Post-Adjudication,,,,Delaware,"DEL. CODE ANN. tit. 11, ¤ 9501 (2019)",,Colorado,COLO. REV. STAT. ¤ 19-2-1002(9)(b)(I)(A)Ð(B) (2020),,Michigan,MICH. COMP. LAWS ANN. ¤ 798.33(e) (2020),,Washington,WASH. REV. CODE ¤ 13.40.070(11) (2020),,Florida,FLA. ADMIN. CODE ANN. r. 63G-2.023 (2020),,Nebraska,NEB. REV. STAT. ¤ 25-2912.01 (2019),,Nebraska,"NEB. REV. STAT. ¤ 43-2,108.03(2) (2019)",,Ohio,OHIO REV. CODE ANN. ¤ 2929.27(A)(12) (West 2019Ð20)
California,CAL. SONOMA SUPER. Ct. R. 10.12(B)(1) (2020),,Juvenile System,,,,,,,Indiana,IND. CODE ¤ 11-12-8-1 (2020),,Connecticut,CONN. GEN. STAT. ¤ 46b-121n(3) (2020),,Mississippi,MISS. CODE ANN. ¤ 9-5-87 (2020),,Washington,WASH. REV. CODE ¤ 13.40.080 (2020),,Florida,FLA. ADMIN. CODE. ANN. r. 63E-7.105(3) (2020),,Nebraska,NEB. REV. STAT. ¤ 43-247.03 (2019),,Nebraska,NEB. REV. STAT. ¤ 43-247.03 (2019),,Ohio,OHIO REV. CODE ANN. ¤ 2929.17(L) (West 2019Ð20)
California,CAL. SANTA CLARA SUPER. Ct. JUV. R. 2 (2020),,Juvenile System,,,,,,,Indiana,IND. CODE ¤ 35-40-6-5 (2020),,District of Columbia,D.C. CODE ANN. ¤ 1-301.81(a)(3) (2020),,Mississippi,MISS. CODE ANN. ¤ 9-1-17 (2020),,West Virginia,W. VA. CODE ¤ 49-4-725 (2020),,Hawaii,HAW. REV. STAT. ¤ 353H-31(C) (2019),,New Hampshire,N.H. REV. STAT. ANN. ¤ 21-H:4(VIII) (2020),,Nebraska,NEB. REV. STAT.  ¤ 43-246(4) (2019),,Oklahoma,"OKLA. STAT. tit. 10a, ¤ 1-4-504(A)(1) (2020)"
California,CAL. MARIN SUPER. Ct. R. 4.2(1) (2020),,Juvenile System,,,,,,,Indiana,IND. CODE ¤ 35-40-6-4(9) (2020),,District of Columbia,D.C. CODE ANN. ¤ 24-902(a-1)(2)(C) (2020),,Mississippi,MISS. CODE ANN. ¤ 93-5-23 (2020),,,,,Idaho,IDAHO ADMIN. CODE. r. 05.02.03.230(e) (2020),,New Hampshire,N.H. REV. STAT. ANN. ¤21-M:8-h(V) (2020),,Nebraska,NEB. REV. STAT. ¤ 25-2911 (2019),,Oklahoma,"OKLA. STAT. tit. 22, ¤ 991a(A)(1)(m) (2020)"
Colorado,COLO. REV. STAT. § 13-3-116 (2020),,,Adult System,,,,,,Iowa,IOWA. ADMIN. CODE. r. 201-20.3(904)(c)(d)(e) (2018),,Florida,FLA. STAT. ¤ 985.155 (2020),,New Hampshire,N.H. REV. STAT. ANN. ¤ 21-H:4(VIII) (2020),,,,,Indiana,IND. CODE ¤ 31-41-2-5 (2020),,Ohio,OHIO REV. CODE ANN. ¤ 2152.19(C) (West 2019Ð20),,Nebraska,NEB. REV. STAT. ¤ 25-2912.01 (2019),,Pennsylvania,75 PA. STAT. AND CONS. STAT. ANN. ¤ 3804 (West 2020)
Colorado,COLO. REV. STAT. § 19-2-512(2) (2020),,Juvenile System,,Pre-Adjudication,,Voluntary Participation of Victim,Voluntary Participation of Offender,,Maine,"ME. STAT. tit. 34-A, ¤ 1214(3)(F) (2019)",,Florida,FLA. ADMIN. CODE ANN. r. 63G-2.023 (2020),,Tennessee,TENN. COMP. R. & REGS. 0420-02-02-.03(5) (2020),,,,,Louisiana,"LA. ADMIN. CODE tit. 22, ¤ 337(H)(1) (2020)",,Ohio,OHIO REV. CODE ANN. ¤ 2929.27(A)(12) (West 2019Ð20),,New Hampshire,N.H. REV. STAT. ANN. ¤ 21-H:4(VIII) (2020),,Tennessee,TENN. CODE ANN. ¤ 37-1-131(b)(1) (West 2020)
Colorado,COLO. REV. STAT. § 19-2-706(1)(a) (2020),,Juvenile System,,,,,,,Maryland,MD. CODE ANN. STATE GOV'T ¤ 9-3209(b)(2) (2020),,Florida,FLA. ADMIN. CODE. ANN. r. 63H-2.006(6) (2020),,Tennessee,TENN. CODE ANN. ¤ 40-36-302(B) (2020),,,,,Louisiana,LA. STAT. ANN. ¤ 46:1846 (2020),,Oklahoma,"OKLA. STAT. tit. 10a, ¤ 1-4-504(A)(1) (2020)",,New Hampshire,N.H. REV. STAT. ANN. ¤ 21-M:8-b(II)(e) (2020),,Utah,UTAH CODE ANN. ¤ 78A-6-602(8)(g) (West 2020)
Colorado,COLO. REV. STAT. § 19-2-925(2)(a)(X) (2020),,Juvenile System,,,Post-Adjudication,,Voluntary Participation of Offender,,Massachusetts,"MASS. GEN. LAWS ANN. ch. 119, ¤ 88 (2020)",,Florida,FLA. ADMIN. CODE. ANN. r. 63E-7.105(3) (2020),,Texas,TEX. GOV'T CODE ANN. ¤ 508.324 (West 2019),,,,,Louisiana,LA. CODE CRIM. PROC. ANN. art. 895 (2020),,Oklahoma,"OKLA. STAT. tit. 22, ¤ 991a(A)(1)(m) (2020)",,Oklahoma,"OKLA. STAT. tit. 10a, ¤ 1-4-504(A)(1) (2020)",,Vermont,"VT. STAT. ANN. tit. 33, ¤ 5232(b)(7) (2020)"
Colorado,COLO. REV. STAT. § 19-2-311 (2020),,Juvenile System,,,,,Voluntary Participation of Offender,,Massachusetts,"MASS. GEN. LAWS ANN. ch. 276B, ¤ 2 (2020)",,Florida,FLA. ADMIN. CODE. ANN. r. 63E-7.108(2) (2020),,Texas,TEX. GOV'T CODE ANN. ¤ 2009.053 (West 2019),,,,,Louisiana,"LA. ADMIN. CODE tit. 22, ¤ 723(A) (2020)",,Texas,TEX. GOV'T CODE ANN. ¤ 508.324 (West 2019),,Texas,TEX. GOV'T CODE ANN. ¤ 508.324 (West 2019),,Vermont,"VT. STAT. ANN. tit. 33, ¤ 5262(b)(2) (2020)"
Colorado,COLO. REV. STAT. § 19-2-905(4) (2020),,Juvenile System,,,Post-Adjudication,Voluntary Participation of Victim,Voluntary Participation of Offender,Mandatory Participation of Offender,Massachusetts,"MASS. GEN. LAWS ANN. ch. 276B, ¤ 5(A)(B)(C) (2020)",,Florida,FLA. ADMIN. CODE. ANN. r. 63F-13.001(1)(c) (2020),,Texas,TEX. CIV. PRAC. & REM. CODE ANN. ¤ 152.007 (West 2019),,,,,Massachusetts,"MASS. GEN. LAWS ANN. ch. 276B, ¤ 2 (2020)",,Texas,TEX. CODE CRIM. PROC. ANN. art. 26.13 (West 2019),,Texas,TEX. CODE CRIM. PROC. ANN. art. 26.13 (West 2019),,Vermont,"VT. STAT. ANN. tit. 33, ¤ 5235(e) (2020)"
Colorado,COLO. REV. STAT. § 19-2-211(1) (2020),,Juvenile System,,,,,,,Massachusetts,"MASS. GEN. LAWS ANN. ch. 276B, ¤ 1 (2020)",,Florida,FLA. ADMIN. CODE. ANN. r. 63H-2.007 (2020),,Texas,TEX. GOV'T CODE ANN. ¤ 508.191(b) (West 2019),,,,,Minnesota,MINN. STAT. ¤ 609.125 subd. 1(6) (2020),,Utah,UTAH CODE ANN. ¤ 78A-6-602(8)(g) (West 2020),,Virginia,VA. CODE ANN. ¤ 19.2-11.4 (West 2020),,Vermont,"VT. STAT. ANN. tit. 33, ¤ 225(b)(2) (2020)"
Colorado,COLO. REV. STAT. § 19-2-907(1)(l) (2020),,Juvenile System,,,Post-Adjudication,Voluntary Participation of Victim,,Mandatory Participation of Offender,Massachusetts,"MASS. GEN. LAWS ANN. ch. 276B, ¤ 4 (2020)",,Florida,FLA. ADMIN. CODE. ANN. r. 63H-2.005 (2020),,Texas,TEX. CODE CRIM. PROC. ANN. art. 56.02(a)(11) (West 2019),,"(repealed 2019, repeal effective Jan. 1, 2021)",,,Minnesota,MINN. STAT. ¤ 609.135 subd. 1(b) (2020),,Virginia,VA. CODE ANN. ¤ 19.2-11.4 (West 2020),,Washington,WASH. REV. CODE ¤ 13.40.080 (2020),,Vermont,"VT. STAT. ANN. tit. 28, ¤ 252(b)(15) (2020)"
Colorado,COLO. REV. STAT. § 19-2-708(2) (2020),,Juvenile System,,,Post-Adjudication,,Voluntary Participation of Offender,,Massachusetts,"MASS. GEN. LAWS ANN. ch. 276B, ¤ 3 (2020)",,Georgia,GA. COMP. R. & REGS. 96-1-.05(1) (2020),,Texas,TEX CIV. PRAC. & REM. CODE ANN. ¤ 154.023 (West 2019),,,,,Mississippi,MISS. CODE ANN. ¤ 9-5-87 (2020),,West Virginia,W. VA. CODE ¤ 49-4-725 (2020),,West Virginia,W. VA. CODE ¤ 49-4-725 (2020),,Vermont,"VT. STAT. ANN. tit. 13, ¤ 7180 (2020)"
Colorado,COLO. REV. STAT. § 19-2-309.5(4)(a)(II) (2020),,Juvenile System,,,Post-Adjudication,,,,Michigan,MICH. COMP. LAWS ANN. ¤ 691.1553 (2020),,Hawaii,HAW. REV. STAT. ¤ 571-31.4(c)(11) (2019),,Texas,TEX. CODE CRIM. PROC. ANN. art. 56.03 (West 2019),,"(repealed 2019, repeal effective Jan. 1, 2021)",,,Mississippi,MISS. CODE ANN. ¤ 9-1-17 (2020),,,,,,,,Vermont,"VT. STAT. ANN. tit. 13, ¤ 7554c(D)(2)(b) (2020)"
Colorado,COLO. REV. STAT. § 19-2-302.5(2)(e) (2020),,Juvenile System,,,,,,Mandatory Participation of Offender,Minnesota,MINN. STAT. ¤ 611A.77 subd. 2(1)(2) (2020),,Idaho,IDAHO ADMIN. CODE. r. 05.02.03.230(e) (2020),,Texas,TEX. CODE CRIM. PROC. ANN. art. 26.13 (West 2019),,,,,Missouri,MO. ANN. STAT. ¤ 217.440 (2020),,,,,,,,Vermont,12-8 VT. CODE R. ¤ 20:V (2020)
Colorado,COLO. REV. STAT. § 18-7-109(5)(d) (2020),,Juvenile System,,,Post-Adjudication,Voluntary Participation of Victim,,Mandatory Participation of Offender,Minnesota,MINN. STAT. ¤ 609.125 subd. 1(6) (2020),,Idaho,IDAHO ADMIN. CODE. r. 05.02.01.214(d) (2020),,Texas,TEX. CIV. PRAC. & REM. CODE ANN. ¤ 154.073 (West 2019),,,,,Missouri,MO. ANN. STAT. ¤ 217.760(2) (2020),,,,,,,,Washington,WASH. REV. CODE ¤ 10.01.230 (2020)
